id,topic,animal,lesson,video_type,target_minutes,main_character,story_universe,audience,made_for_kids,script,title,description,status,video_url,created_at,scene_prompts,image_status,audio_status,youtube_status,youtube_video_id,video_file_path,error_message
TBT-SH-001,Toby notices a silent animal being ignored at the edge of the pond,Toby the old turtle,Kindness becomes powerful when it costs something,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-002,Toby gives away his dry leaf blanket during sudden rain,Toby the old turtle,Slow progress still moves a life forward,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-003,Toby carries one glowing pebble through a dark path,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Courage is not loud; it keeps walking,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-004,Toby waits beside a scared bird until it breathes again,Toby the old turtle,Healing starts when a heart stops pretending,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-005,Toby forgives the fox who laughed at his slow steps,Toby the old turtle,Patience can reach places speed cannot,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-006,Toby finds a tiny bell that only rings for honest hearts,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Trust is rebuilt through repeated small actions,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-007,Toby refuses to leave a cracked shell behind,Toby the old turtle,The rejected often carry the deepest wisdom,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-008,Toby shares the last berry with someone who never thanked him,Toby the old turtle,Real strength protects without humiliating,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-009,Toby walks into fog to return a lost feather,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Rest is not failure; it is how strength returns,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-010,Toby stands between a frightened mouse and a loud storm,Toby the old turtle,"Forgiveness needs boundaries, not blindness",short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-011,Toby admits he is afraid before crossing a narrow log,Toby the old turtle,Kindness becomes powerful when it costs something,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-012,Toby learns that being slow can save a life,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Slow progress still moves a life forward,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-013,Toby helps a wolf cub nobody trusts,Toby the old turtle,Courage is not loud; it keeps walking,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-014,Toby keeps a promise after everyone else forgets,Toby the old turtle,Healing starts when a heart stops pretending,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-SH-015,Toby finds courage in one more step,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Patience can reach places speed cannot,short,1,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-001,Toby follows fireflies through a rainy forest to return a forgotten lullaby,Toby the old turtle,Kindness becomes powerful when it costs something,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-002,Toby spends one quiet night helping animals sleep after a long storm,Toby the old turtle,Slow progress still moves a life forward,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-003,Toby walks to the moonlit lake to heal a friendship without saying much,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Courage is not loud; it keeps walking,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-004,Toby guards a sleeping sparrow until dawn while the forest whispers old memories,Toby the old turtle,Healing starts when a heart stops pretending,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-005,Toby carries a warm lantern to every lonely den before sunrise,Toby the old turtle,Patience can reach places speed cannot,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
TBT-BED-006,Toby and the old owl listen to the river until grief becomes softer,"Toby, Pip, Luna, Bruno and Moonlit Forest animals",Trust is rebuilt through repeated small actions,bedtime,30,Toby,The Moonlit Forest,general audience - not made for kids,FALSE,,,,IDEA,,,,,,,,,
